@relation review

@attribute sentence string
@attribute aspect {character,plot,neither}

@data
'Plus we get to meet the villainous Lucius Malfoy Dracos father and Rons little sister Ginny I have mixed thoughts on her in this book ',neither
'Not to mention the houseelf Dobby who is one interesting character and very unique ',character
'The the supremely annoying Gilderoy Lockhart ugh I despise himSomething is attacking Harrys classmates and he is determined to figure out what and who is causing harm to the school ',neither
'Harrys youth is obvious in this book ',neither
'He seems to be a bit more foolish than even the first book ',neither
'Gryffindor courage eh',neither
'I think I noticed this more in the latest reread than past times ',neither
'The small oopses these kids make ',neither
'Yet it is also what endears the book to me ',neither
'The imperfectionWe get more of a view of Diagon Alley plus its less savory companion Knockturn Alley ',neither
'I dont think I can ever learn enough about these places ',neither
'So many interesting things and places',neither
'We get flying cars giant spiders an enchanted diary and pesky pixies plus so much more in this second installment to the Harry Potter world ',neither
'Im not sure what more I can say about Harry Potter ',neither
'Its obvious to anyone who knows me how much I love these books and for anyone who doesnt Im not sure that I can add any more praise than these books have already received and rightfully so in my opinion ',neither
'The books are full of heart wit mystery and fantasy humor and sadness each page bringing more plot or more characterization and often times bothAnd the books are just as delightful upon the second readSPOILERS BELOW DONT REIm not sure what more I can say about Harry Potter ',character
'Its obvious to anyone who knows me how much I love these books and for anyone who doesnt Im not sure that I can add any more praise than these books have already received and rightfully so in my opinion ',neither
'The books are full of heart wit mystery and fantasy humor and sadness each page bringing more plot or more characterization and often times bothAnd the books are just as delightful upon the second readSPOILERS BELOW DONT READ IF YOU HAVENT FINISHED THE SERIESThe second book still has a sense of safety about it and the wizarding world isnt quite and dangerous as will be encountered in later booksAlso upon knowing the final books COS does have lots of clues and I find it amazing how much JK Rowling had figured out so early onI completely love these books',plot
'And there is nothing quite like a journey to Hogwarts with Harry Ron Hermione and everyone elseYay',character
'Time to reread',neither
'Ive been very curious to reread this not only because its HP but also because theres supposed to be so many hints to the final book',neither
'YayReread June through July Originally read December January ',neither
'UDIt is our choices Harry that show what we truly are far more than our abilitiesUD The magic that is Harry Potter continues in this second instalment ',neither
'In HarryUs second year at Hogwarts we finally learn the secret of why Hagrid was expelled and why the sorting hat thought Harry would excel in the Slytherin House ',neither
'We also learn more about the founding members of Hogwarts and the mystery that is Tom Riddle is revealed ',neither
'And Dobby the houseelf becomes HarryUs protector in some very dangero UDIt is our choices Harry that show what we truly are far more than our abilitiesUD The magic that is Harry Potter continues in this second instalment ',neither
'In HarryUs second year at Hogwarts we finally learn the secret of why Hagrid was expelled and why the sorting hat thought Harry would excel in the Slytherin House ',neither
'We also learn more about the founding members of Hogwarts and the mystery that is Tom Riddle is revealed ',neither
'And Dobby the houseelf becomes HarryUs protector in some very dangerous but wellmeant ways ',neither
'I absolutely loved everything about this book ',neither
'The imagination of JK Rowling continues to astound and enthral me ',neither
'ItUs so wonderful seeing Harry Ron and Hermoine grow as friends and in their own capabilities and I especially enjoy seeing Hermoine realise that some rules are meant to be broken ',neither
'I must admit with the reread of this series I love noticing clues and interesting facts I didnUt really understand when I originally read this series ',character
'I look forward to many rereads of this wonderful series ',neither
'Reread October th Updated review on my blog ',neither
'Dobby lmao ',neither
'As usual Joanne blew my brain ',neither
'I was still new to books when I read this but it was amazing I of course read this the first time years after the seventh book was released and just like the first made me dream of Harry this did in a much more obsessive weird and worse way than the first ',neither
'After this book Harry became my first book crush ever ',neither
'I dont ever like giving spoilers so lets keep it this way the book was magnificeReread October th Updated review on my blog ',neither
'Dobby lmao ',neither
'As usual Joanne blew my brain ',neither
'I was still new to books when I read this but it was amazing I of course read this the first time years after the seventh book was released and just like the first made me dream of Harry this did in a much more obsessive weird and worse way than the first ',neither
'After this book Harry became my first book crush ever ',neither
'I dont ever like giving spoilers so lets keep it this way the book was magnificent the story was captivating I could not put the book down ',neither
'Son nuestras elecciones Harry las que muestran lo que somos mucho mUEs que nuestras habilidadesSegundo libro de esta gran saga ',neither
'ME ENCANTA porque al principio conocemos mUEs sobre los Weasley y porque nos cuenta mUEs sobre Hogwarts y algunos de sus secretosEsas ganas de estar en el castillo y entrar en la CUEmara de los Secretos todo es tan real ',neither
'Rowling nos cuenta mUEs acerca de Lord Voldemort su historia y su relaciUFn con HarryEl final es genial D Amo a ese elfo jajajaEsta mujer es inSon nuestras elecciones Harry las que muestran lo que somos mucho mUEs que nuestras habilidadesSegundo libro de esta gran saga ',neither
'ME ENCANTA porque al principio conocemos mUEs sobre los Weasley U y porque nos cuenta mUEs sobre Hogwarts y algunos de sus secretosEsas ganas de estar en el castillo y entrar en la CUEmara de los Secretos todo es tan real ',neither
'Rowling nos cuenta mUEs acerca de Lord Voldemort su historia y su relaciUFn con HarryEl final es genial D Amo a ese elfo jajajaEsta mujer es increUEDble estUE en cada detalle ',neither
'LUEstima lo de las araUFas ',neither
'This was my third reread because sometimes I feel the need to reread an HP book ',neither
'I have to say that this isnt one of my favourite HP books but after all is a completely stars for meThere will ever be nothing that could make me dislike an Harry Potter book even tough it isnt my fave in the seriesI really like how cute they are they are so small yet so brave and invincible and every time this makes me happy as hell dont know why ',neither
'It took me a while to get through this but I did really enjoy it ',plot
'Especially towards the end when it began to pick up and get more actiony ',neither
'I love the whole mystery aspect and trying to figure out who is behind what ',neither
'Im never expecting anything and its refreshing ',neither
'Reading the Harry Potter series is helping me see how much more is going on besides all the surface stuff ',plot
'I cant wait to get through the rest of it ',neither
'I loved this book',neither
'Im regretting already why I didnt read this when it was first published ',neither
'I just started reading the series within this year ',neither
'Well actually I watched all the movies first than reading the books because my tutee keeps on telling me to watch it now when it should be ',plot
'read it now ',neither
'And as of now Im reading the book and my excitement over these books still linger around my mindIll be posting the review for the whole series once I finished reading the books ',neither
'My mother read The Chamber of Secrets for me when I was a kid ',neither
'In I reread the books in Norwegian ',neither
'But now reading in english I have discovered a whole new world ',neither
'Because its some years since the last time I read the book and the movie is cutting like of the book it was almost as reading a new book ',neither
'Or an old book but with new scenes ',neither
'Cant wait to read the rest of the books in english as well',plot
'Relecture de ce second tome en VO et javais oubliUE comme cUEtait bienCest marrant jai toujours un peu moins aimUE le film mais je me rends compte quil a UEtUE survolUE ou quil a UEtUE trop rapide ',neither
'Le livre est un rUEgal et ma rUEconciliUEe avec ce tome que je pensais moins aimer',neither
'Comme quoi UEa fait du bien une bonne relecture quelques annUEes aprUEs',neither
'Svaka sledeUa knjiga je sve bolja i bolja ',neither
'Ovo je inaUDe bio moj najneomiljeniji film ali je knjiga x bolja ',neither
'UCak mi se viUe sviUa i od prve ',neither
'VideUemo Uta Ue biti sa zatvorenikom iz Askabana mog najomiljenijeg filma ',neither
'Chamber of Secrets might be my least favourite book of the HP series but its still fantastic ',neither
'The audiobook was excellent as usual ',neither
'Im really enjoying listening to these as opposed to my yearly reread ',plot
'This was a fantastic reread for me and an epic first time read for my year old son and we both enjoyed it so much that we when on ahead and finished reading Harry Potter and the Prisoner of AzkabanRTC ',plot
Loooved,neither
'I adore how everyone in the main trio helps defeat evil and not just HarryIm also very excited to see how this whole book will change Ginny ',neither
'I seem to have a soft spot for this girl ',neither
'Cant wait to read Prisoner of Azkaban but I also want to take my time going through these books ',neither
'YllUEttUEvUEn monia asioita olin unohtanut joten ehkUE oli ihan hyvUE pUE UEtUFs lukea Potterit uudelleen ',neither
'Ei tUEstUE mitUE UEn huonoa sanottavaa ole ',neither
'Rakastan ',neither
'UCIt is our choices Harry that show what we truly are far more than our abilitiesUD UCIt is our choices Harry that show what we truly are far more than our abilitiesUD U ',neither
'I loved it',neither
'I love this book more than I could ever explain ',neither
'I can neverget over how much I love this book ',neither
'HARRY POTTER will forever live with me ',neither
'My goodness this illustrated edition is every bit as beautiful as the Philosophers Stone one ',neither
'It really makes the experience so much more enjoyable ',neither
'I cannot wait for the next one',neither
'Este libro es simplemente PERFECTO',neither
'No tengo palabras para describir lo mucho que me esta fascinando este mundo ',neither
'TOM FUCKING RIDDLE',neither
'AHHHHHHHHHHHHH ',neither
'I love Harry Potter ',neither
'I love The Weasleys ',neither
'I want to attend Hogwarts ',neither
'Go Hufflepuff',neither
'yeah well guess who preorderd it',neither
'yup me ',neither
'no shame ',neither
'Loved it even more than the first',neither
'Full review to come ',neither
'Buddy read with my littlest buddy ',neither
'httpsthegirlwhoreadssbookswordpre ',neither
'A proper followup Im equally impressed by the nd book of the HP series Harry Potter and the Chamber of Secrets ',neither
'Its light witty and full of hilarious situations ',neither
'There are sufficient recaps to refresh your memory on characters and other matters from the st book ',character
'The concept of Tom Riddles diary alone deserves applause and more admiration and respect to the brilliant author JK Rowling ',neither
'I just love how the plot unfolds and everything falls into place beautifully at the end ',plot
' A proper followupIm equally impressed by the nd book of the HP series Harry Potter and the Chamber of Secrets ',neither
'Its light witty and full of hilarious situations ',neither
'There are sufficient recaps to refresh your memory on characters and other matters from the st book ',character
'The concept of Tom Riddles diary alone deserves applause and more admiration and respect to the brilliant author JK Rowling ',neither
'I just love how the plot unfolds and everything falls into place beautifully at the end ',plot
' All my HP reviews Harry Potter and the Sorcerers Stone Harry Potter and the Chamber of Secrets Harry Potter and the Prisoner of Azkaban Harry Potter and the Goblet of Fire Harry Potter and the Order of the Phoenix Harry Potter and the HalfBlood Prince Harry Potter and the Deathly HallowsAnd Ill wrap things up this time with a quote by RonJK ',neither
'Rowlings novels ',neither
' It is our choices Harry that show what we truly are far more than our abilities ',neither
'Harry Potter and the Chamber of Secrets is amazing obviously ',neither
'There are a few annoyances here and there Dobby and Lockhart but overall this book leaves me wanting more ',neither
'Hogwarts is just ',plot
'so ',neither
'so ',neither
'so mesmerising and magical ',neither
'Another thing that I enjoyed greatly is the fact that each chapter in the American HP edition starts with a small illustration ',plot
'I didnt grow up reading the Harry Potter books so IUB UB UB UB It is our choices Harry that show what we truly are far more than our abilitiesHarry Potter and the Chamber of Secrets is amazing obviously ',neither
'There are a few annoyances here and there Dobby and Lockhart but overall this book leaves me wanting more ',neither
'Hogwarts is just ',plot
'so ',neither
'so ',neither
'so mesmerising and magical ',neither
'Another thing that I enjoyed greatly is the fact that each chapter in the American HP edition starts with a small illustration ',plot
'I didnt grow up reading the Harry Potter books so I am not very familiar with the American and British editions ',neither
'The first time I read Harry Potter was in the summer of not a very long time ago and I lent the books from the library ',neither
'I was overjoyed when I received the American HP editions for my birthday ',neither
'The covers are stunning',neither
'I couldnt be happier My Review of Harry Potter and the Philosophers Stone ',neither
'st read in August UB UB UB UB UB Harry Potter and the Chamber of Secrets is even more imaginative than Harry Potter and the PhilosopherUs Stone ',neither
'It seems quite impossible to achieve but it is so believe me I have read both ',plot
'The Chamber of Secrets contains even more lighthearted humour and queer but highspirited people ',neither
'Not to forget more creatures some that make me crawl literally ',neither
'Spiders phoenixes houseelves you name them and they are there ',character
'I love how the Chamber of Secrets is a bit more challenging than the first novel ',neither
'ItUs a step up ',neither
'Solving the riddles pun intended were more complicated and complex ',neither
'As the characters are growing the riddles increasing in difficulty as well ',character
'I love the fact that there is clear character development ',character
'For example Hermione needs to convince Ronny and Harry aka the rule breakers to break the rules ',character
'She evolves as time goes by as do the other characters ',plot
'This is very realistic in its portrayal of the way people in the real world evolve and change too ',plot
'The novelUs story line is superb it is truly impeccable ',neither
'The way everything is introduced explained and done is executed perfectly ',neither
'I am in love ',neither
'I hereby declare that ANY novel written by JK Rowling is deemed worthy of praise ',neither
'I trust her to write well ',neither
'She has my sword my axe and my bow ',neither
'Sonja daughter of Suhaila at your service bows gracefullyI cannot and I will not stop reading the sequels to this novel ',neither
'The Harry Potter Universe has pulled me in and I am positive that I never want to look back ',neither
'Potterhead I must be ',neither
'U UIt is our choices Harry that show what we truly are far more than our abilitiesU U Professor Dumbledore p U UYour aunt and uncle will be proud though wonUt they said Hermione as they got off the train and joined the crowd thronging towards the enchanted barrier ',character
'When they hear what you did this year Proud said Harry ',neither
'Are you mad',neither
'All those times I couldUve died and I didnUt manage it',neither
'TheyUll be furious U Hermione and Harry p ',character
'SUrlar OdasU Felsefe TaUF UnUn bUraktU UF U yerden sadece birkaUE hafta sonra baUFlUyor ',neither
'Ulk kitabUn sonunda Harry Potter Hogwartstaki ilk yUlUnU saUF salim atlatmayU ve Voldermortun dUFnUFC UF UFCnUFC engellemeyi baUFarmU UFtU ',neither
'UEimdi Dursleylerin yanUnda uzun UEok uzun ona sonsuzluk gibi gelen bir yaz geUEirmekte okulun baUFlamasUna kalan gUFCnleri saymaktadUr ',neither
'Dursleylerden kimsenin hatUrlamadU UF U doUFumgUFCnUFCnde hatUrlasalar da kulak temizleme UEubuUFu filan hediye ederlerdi herhalde Dobby isimli bir ev ciniSUrlar OdasU Felsefe TaUF UnUn bUraktU UF U yerden sadece birkaUE hafta sonra baUFlUyor ',neither
'Ulk kitabUn sonunda Harry Potter Hogwartstaki ilk yUlUnU saUF salim atlatmayU ve Voldermortun dUFnUFC UF UFCnUFC engellemeyi baUFarmU UFtU ',neither
'UEimdi Dursleylerin yanUnda uzun UEok uzun ona sonsuzluk gibi gelen bir yaz geUEirmekte okulun baUFlamasUna kalan gUFCnleri saymaktadUr ',neither
'Dursleylerden kimsenin hatUrlamadU UF U doUFumgUFCnUFCnde hatUrlasalar da kulak temizleme UEubuUFu filan hediye ederlerdi herhalde Dobby isimli bir ev cini konuk olur odasUna ',neither
'Dobby UEok tatlU Harryye bUFCyUFCk saygU duyuyor ve saUFlU UF Uyla son derece ilgileniyor gibi gUFrUFCnen bir yaratUktUr ve kararlUdUr Harry Potter Hogwartsa dUFnmemelidir',neither
'Ona bir komplo kurulmaktadUr Potter Hogwartsa dUFneceUFine yaralansa daha iyidir UE UFCnkUFC okula giderse kesin UFlecektir ',neither
'Harry elbette bunu kabul etmez Dobby de kendi sihrini kullanarak Harrynin baUF UnUn Dursleylerle derde girmesine neden olur ',neither
'Vernon EniUFte Harryi odasUna kitler iUFi pencerelere demir parmaklUk taktUrmaya kadar vardUrUr ama Harry umutsuzluUFa dUFC UFmeye zaman bulamadan Ron Weasley pek bir muzip aUFabeyleri Fred ve George ile birlikte uUEan bir arabayla onu kurtarmaya gelir ',neither
'Harry Hogwartsa dUFnmeden ve yine bol olaylU bir sUFmestre baUFlamadan yazUn kalanUnU RonlarUn bUFCyUFC dolu evinde Kovukta geUEirecektir ',neither
'Ron ve Hermioneyle Hogwartsta geUEecek gUFCnler de UEok eUFlenceli olacaktUr kuUFkusuz ama dUFnemin baUFlamasUndan kUsa sUFCre sonra mUFCthiUF bir karanlUk yayUlUr okula ardU ardUna MuggledoUFumlu UF UFrencilere saldUrUlar gerUEekleUFmeye baUFlar ',neither
'Harrynin okuldaki ikinci yUlUnda hUFCkUFCm sUFCrecek olan gizem kimsenin tam olarak ne olduUFunu bilmediUFi yUFCzyUllar kadar eski bir sUFylenceyle ilgilidir SUrlar OdasUYine tek bir oturuUFta birkaUE saat iUEinde bitirebileceUFiniz bir Harry Potter kitabUyla karUF U karUF UyayUz ',neither
'Hikaye iyice karanlUklaUFmadan ve UEetrefilleUFmeden UFnceki son kitap olarak tanUmlayabileceUFimiz SUrlar OdasU genUEler ve yetiUFkinlerden UEok UEocuklara yUFnelik olan son kitap aynU zamanda ama bu basit bir kurguyla karUF U karUF Uya olduUFumuz anlamUna gelmiyor ',neither
'Ulk kitaptaki kadar iyi bir hikaye mizah ve gerilimin yine UEok baUFarUlU bir UFekilde harmanlanmasU Dumbledoreun karakter geliUFimi ve Harry Ron ve Hermione UFC UElUFCsUFCnUFCn dostluklarUnUn gUFC UElenmesi ikinci kitapta vuku buluyor ',character
'Bu Sevin OkyayUn tek baUF Una UEevirdiUFi ilk ve tek Harry Potter kitabU ayrUca Felsefe TaUF UnU UDClkUFC Tamer UEevirmiUFti bundan sonraki kitaplarUn tUFCmUFCnUFCn UEevirisi ise Sevin Okyayla birlikte Kutlukhan Kutluya ait Bundan bahsetmiUFken kitaplarUn TUFCrkUEesini ne kadar gUFCzel bulduUFumu belirtmem gerek ',neither
'Harry PotterUn dUFCnyasU ve onlarca hatta belki yUFCzlerce tuhaf dilimizde var olmayan Rowlingin uydurduUFu terim olabilecek en UFahane UFekilde UEevrilmiUF ',neither
'TUFCm seri iUEin geUEerli buAyrUca SUrlar OdasUnda Voldyye bUFCyUFCcUFC dUFCnyasUndaki baUFnazlUk ve UrkUE UlUklara Harrynin anne ve babasUna dair bir UFeyler daha UF UFreniyoruz ',neither
'Biraz daha ama yeterli deUFil ',neither
'Rowlingin tUFCm bu bilgileri son derece planlU bir bir biUEimde yavaUF yavaUF vermesi ilk okuyuUFumda beni deli ediyordu ama tUFCm seri bittikten sonra baUFka tUFCrlUFC olamayacaUF UnU bu UFekilde tadUnUn UE UktU UF UnU gUFrdUFCm nihayet ',neither
'YazUnUn filmle ilgili kUsmUna geUEmeden UFnce bir alUntU Dumbledoreun kitabUn sonlarUnda ettiUFi basmakalUp ama pek doUFru sUFz Bize aslUnda kim olduUFumuzu gUFsteren UFey yeteneklerimiz deUFil seUEimlerimizdir ',neither
'NatUFCrlich Sterne ',neither
'Egal ob auf englisch oder deutsch ich liebe die BUFCcher Wobei ich diesen Teil immer noch als den schwUEchsten der Reihe sehe ',neither
'U U U U U U U U U U U U U U U UA U U U U U UA U UF U U UA U U UA U UD U U U U UC UF U U U UA U U U U U U U U U UA U U U U U U U U U U U U U UA U U U UA U U U UA UA UA U U U U U U U UA U U U U U U U U U U UF UA U UA UA UE UA U U U U UE U UA U UA U U U U U U U U U U UA UA U U U U U U U UA UE UA U U U U UA U U U U U U U UU UE U UA U UA U U U U U U UD U U U U U UA U U U UA U U U U U UE UA U U ',neither
'U U U U UA U UC U U U U UA U UA U U U U U UA U U U U U UB U U U U U U U U U U U U UA U U U UA U U UD UA U U U UA U U UA U U UA U U U U U U U U UA U U UA U UA UD U U U U U U UA U UA U U U U U U U U U U U U U U U U U U UB U U U UA U U U U U UA UA UA UD U U U U U U U U U U UA UB U U U U U U U U UA U UA U U UA U U U U UE UA U U U U U U U U U U U U U UF U U U UA U U U UA U U UA U U U UA UF U U U U UF UA U U U U U UA UD U U U U U UF U U U U U U U U U U UA U U UC U U U UA U U U U UE U U UA U U U UU U UD U U U UA U U U UA UE U U U U U U U U U U U U U U U U UA U U U U U UA U UF U U UA U U UA U UD U U U U UC UF U U U UA U U U U U U U U U UA U U U U U U U U U U U U U UA U U U UA U U U UA UA UA U U U U U U U UA U U U U U U U U U U UF UA U UA UA UE UA U U U U UE U UA U UA U U U U U U U U U U UA UA U U U U U U U UA UE UA U U U U UA U U U U U U U UU UE U UA U UA U U U U U U UD U U U U U UA U U U UA U U U U U UE UA U U ',neither
'U U U U UA U UC U U U U UA U UA U U U U U UA U U U U U UB U U U U U U U U U U U U UA U U U UA U U UD UA U U U UA U U UA U U UA U U U U U U U U UA U U UA U UA UD U U U U U U UA U UA U U U U U U U U U U U U U U U U U U UB U U U UA U U U U U UA UA UA UD U U U U U U U U U U UA UB U U U U U U U U UA U UA U U UA U U U U UE UA U U U U U U U U U U U U U UF U U U UA U U U UA U U UA U U U UA UF U U U U UF UA U U U U U UA UD U U U U U UF U U U U U U U U U U UA U U UC U U U UA U U U U UE U U UA U U U UU U UD U U U UA U U U UA UE U U U U U U UA U U UF U U U U UE UA U U U U U U U U U U U U U U U U U U U U U U U UF U U U U U U U U U U U U UA UA U U UA U UF U U U U U UD U U U U U U U U U UA UE U U U U U U U U UF U U U UA UA U UF UA U U UA U U U U U UF U U U U U U U U UA U U U U UA U U U U U U UA U U U U U U UB UA U U U U U U U UF UA U U U UA UA U U U UA U U U UA U UA U U UA U U UA U U U U UA U UA U UA U U U U U U U U UA U U U UA U U U U U U U U UA UC UF U U U UA U U U UA U U U U U U U UA UA U U U U U U U U U U U U U U U U UD U U U U U U U U U U U U U U U UA U U UA U U U U UC U U U U U U U UA U UA U U UA UA UA U UA UD U UA U U U U U UA U U U U U U U UA U U U U U U U U UA U U UA U U U U U U U U UA U UA U U U U U U U U U U UA UC U UA UF UA U U U U U UE U UA U UA U U U U U U U U U UA U U U U U U UA UC U U U U U UA U U UA U UA U U U UD U U U U U U UA U U UA U U UC U U U UA U U U U U UFU U U U U U U U U UA U U U U U U U U U U U U U UA U U U U U U U U UA U U UA U U U U U U UA U U U U U U UF U U U U U U U UA U U U U UB U U UB ',neither
'Harry Potter and the Chamber of Secrets is the second book of the famous wizard saga ',neither
'Like many of you I can say that I grew up reading Harry Potter books ',neither
'And now that I grow up and I look back at that time with the perspective of my adult age I can say that these books transformed me ',plot
'They opened me the door to the world of imagination the love of reading and later the love of writing ',neither
'Harry Potter and the Chamber of Secrets is one of my favorite books of the saga it presents Dobby one ofHarry Potter and the Chamber of Secrets is the second book of the famous wizard saga ',neither
'Like many of you I can say that I grew up reading Harry Potter books ',neither
'And now that I grow up and I look back at that time with the perspective of my adult age I can say that these books transformed me ',plot
'They opened me the door to the world of imagination the love of reading and later the love of writing ',neither
'Harry Potter and the Chamber of Secrets is one of my favorite books of the saga it presents Dobby one of the most endearing characters for all Harry fansI recommend reading all Harry Potter books to all children teenager and adults who havent yet done it ',character
'Its a great and balanced story with an exquisitely natural and beautiful writingSpanish version Harry Potter y la CUEmara Secreta es el segundo volumen de la saga del famoso mago ',plot
'Como muchos de vosotros puedo decir que crecUED leyendo los libros de de Harry Potter ',neither
'Y ahora que los analizo desde la perspectiva de mi edad adulta puedo decir que estos libros fueron transformadores para mUED ',neither
'Me abrieron las puertas al mundo de la imaginaciUFn de la lectura y mUEs adelante de la escritura ',neither
'Harry Potter y la CUEmara Secreta es uno de mis libros favoritos presentUEndonos a Dobby uno de sus personajes mUEs entraUFables para todos los fans de Harry Potter ',neither
'Recomiendo leer todos los libros de Harry Potter a todos los niUFos jUFvenes y adultos que aUFAn no lo hayan hecho ',neither
'Es una historia fantUEstica equilibrada y de una escritura exquisitamente natural y bella ',neither
'And my rereadrediscovery continues',neither
'This is definitely not my favourite of the series owing to an unfortunate two week trip to France for which my mother made me pack only two books ',neither
'This was one of them Prisoner of Azkaban the other ',neither
'The latter didnUt suffer from the multiple readings sometimes multiple times in one day as much as this one did ',neither
'Still itUs been a long time so it wasnUt too annoying U and IUd even contrived to forget the sequence of some of the eventsActually IUm enjoyiAnd my rereadrediscovery continues',neither
'This is definitely not my favourite of the series owing to an unfortunate two week trip to France for which my mother made me pack only two books ',neither
'This was one of them Prisoner of Azkaban the other ',neither
'The latter didnUt suffer from the multiple readings sometimes multiple times in one day as much as this one did ',neither
